Date,Actual,Forecast
2022-07-06,262.5896301269531,265.811366312039
2022-07-07,264.9949645996094,267.19287333175265
2022-07-08,265.9933776855469,268.2097937891181
2022-07-11,267.76336669921875,270.86134742480994
2022-07-12,265.67572021484375,272.1622975846521
2022-07-13,266.9010314941406,273.36196425549105
2022-07-14,263.99652099609375,274.2766396980848
2022-07-15,266.44720458984375,274.80682532945605
2022-07-18,268.03564453125,275.9755233104498
2022-07-19,267.4002685546875,276.8046248193084
2022-07-20,270.6679382324219,277.5567540130432
2022-07-21,271.89324951171875,278.0545383604683
2022-07-22,272.8009033203125,278.2036111216079
2022-07-25,273.3001403808594,278.4754172821359
2022-07-26,274.5254821777344,279.091663727706
2022-07-27,276.06854248046875,279.6727816518987
2022-07-28,275.4331970214844,280.0389367026594
2022-07-29,275.070068359375,280.0923235281388
2022-08-01,279.1092529296875,280.24727833939966
2022-08-02,281.33306884765625,280.8638155437222
2022-08-03,279.69921875,281.45563784070407
2022-08-04,280.9245910644531,281.83753489659045
2022-08-05,282.1499938964844,281.9066941079978
2022-08-08,284.2375793457031,282.06800809593386
2022-08-10,282.4676818847656,283.21923212244576
2022-08-11,277.97467041015625,283.55080557963623
2022-08-12,280.0622863769531,283.55590533921026
2022-08-16,281.87762451171875,283.9655705144883
2022-08-17,283.6929931640625,284.43011453790865
2022-08-18,286.5068054199219,284.67707301601206
2022-08-19,283.19378662109375,284.6092328822113
2022-08-22,285.3721923828125,284.41433944042143
2022-08-23,286.73370361328125,284.93324871891235
2022-08-24,285.0998840332031,285.4462797517101
2022-08-25,283.511474609375,285.7746074385733
2022-08-26,284.0107116699219,285.8219361811792
2022-08-29,284.60064697265625,286.16926075333714
2022-08-30,290.9089660644531,286.927294359281
2022-09-01,288.2767639160156,288.3113715475868
2022-09-02,293.3143310546875,288.65167921357596
2022-09-05,298.4880676269531,289.8888767913079
2022-09-06,296.94500732421875,290.92449029360955
2022-09-07,295.9919738769531,291.956513657355
2022-09-08,299.44110107421875,292.79478728240304
2022-09-09,299.9857482910156,293.33149658040713
2022-09-12,300.3487243652344,294.91224505003385
2022-09-13,303.525634765625,295.9695260015093
2022-09-14,304.387939453125,296.97402573430946
2022-09-15,303.2533264160156,297.73567753267025
2022-09-16,300.71185302734375,298.14794937185434
2022-09-19,304.6148376464844,299.09831889732186
2022-09-20,304.97796630859375,299.84195156634536
2022-09-21,309.4709167480469,300.50711853543396
2022-09-22,313.19232177734375,300.91049545001397
2022-09-23,314.417724609375,300.95268381797064
2022-09-26,301.891845703125,300.7951000916281
2022-09-27,303.9341125488281,301.2266707639401
2022-09-28,294.9481506347656,301.60274622506836
2022-09-29,302.3002624511719,301.7454894431908
2022-09-30,301.52874755859375,301.5601343094684
2022-10-03,294.44891357421875,300.94980832592194
2022-10-04,302.1187438964844,301.3121121532282
2022-10-06,305.5679016113281,301.8122445930225
2022-10-07,303.2533264160156,301.6728963733651
2022-10-10,297.58038330078125,301.3760313285237
2022-10-11,296.1734924316406,301.88463405686787
2022-10-12,299.6226806640625,302.3898279511133
2022-10-13,298.3065185546875,302.7061182876368
2022-10-14,301.43804931640625,302.7301776331437
2022-10-17,301.57415771484375,302.87009238494863
2022-10-18,308.88092041015625,303.49161649871786
2022-10-19,314.372314453125,304.08779764187983
2022-10-20,317.4130859375,304.47108844019715
2022-10-21,313.69158935546875,304.5370671160947
2022-10-24,315.5976867675781,304.6559493904823
2022-10-25,314.326904296875,305.2274503378028
2022-10-27,313.8730773925781,306.06166495985343
2022-10-28,313.8730773925781,306.04112498078854
2022-10-31,316.5054016113281,305.9048610647216
2022-11-01,317.2315368652344,306.41004635101143
2022-11-02,321.906005859375,306.8910385372581
2022-11-03,321.0437316894531,307.16873342200313
2022-11-04,320.9529724121094,306.77428953052015
2022-11-07,320.8621520996094,305.6966063809174
2022-11-09,327.3974304199219,306.2161792191224
2022-11-10,323.1313171386719,306.30715608100564
2022-11-11,323.4490661621094,306.12689573166256
2022-11-14,315.14385986328125,305.8239474604016
2022-11-15,313.3738708496094,306.3666346533657
2022-11-16,312.3300476074219,306.9225718887898
2022-11-17,311.9670104980469,307.3053707109345
2022-11-18,309.5616455078125,307.41073881108395
2022-11-21,306.0671081542969,307.8721679215788
2022-11-22,308.8354797363281,308.6223172632757
2022-11-23,308.42706298828125,309.3552484186738
2022-11-24,309.28936767578125,309.8815867768209
2022-11-25,308.88092041015625,310.09489553153145
2022-11-28,308.6539611816406,310.6585025713608
2022-11-29,310.69622802734375,311.37061414550004
2022-11-30,308.6086120605469,312.03246195115446
2022-12-01,308.20013427734375,312.45759595524623
2022-12-02,306.0217590332031,312.5431157628873
2022-12-05,305.6586608886719,312.60575646101677
2022-12-06,306.15789794921875,313.12685700964374
2022-12-07,308.6993713378906,313.59336895413105
2022-12-08,307.15631103515625,313.8232135223372
2022-12-09,309.87933349609375,313.71751634619
2022-12-12,311.51318359375,313.2637518000794
2022-12-13,313.69158935546875,313.63968155099303
2022-12-14,313.510009765625,313.9767409246754
2022-12-15,307.5647888183594,314.09313357148733
2022-12-16,304.1610107421875,313.8895856368331
2022-12-19,309.06243896484375,313.22288938713393
