Date,Open,High,Low,Close,Volume,Year,Month,Day,Weekday
2022-08-01,275.93239964430893,280.2892159271289,275.1155000537755,279.1092529296875,15889556,2022,8,1,0
2022-08-02,281.37844138724955,287.4144572512092,279.7446421624056,281.33306884765625,38982557,2022,8,2,1
2022-08-03,282.19531762002265,282.19531762002265,275.6146933263266,279.69921875,17695228,2022,8,3,2
2022-08-04,279.5630825455624,281.69611809848357,278.79155551153195,280.9245910644531,15901918,2022,8,4,3
2022-08-05,280.92463051740083,283.0122661262353,280.5615670680338,282.1499938964844,10088723,2022,8,5,4
2022-08-08,282.24071687658954,284.96373381625773,281.42378963472055,284.2375793457031,8307140,2022,8,8,0
2022-08-10,284.2376265696364,285.09992649044693,282.05921819596796,282.4676818847656,8923568,2022,8,10,2
2022-08-11,284.1014590640944,284.5099227210089,277.1123705566538,277.97467041015625,10885990,2022,8,11,3
2022-08-12,277.9746510976735,280.833813397543,276.3862245199725,280.0622863769531,6422504,2022,8,12,4
2022-08-16,280.06227989351424,282.7399242853501,280.06227989351424,281.87762451171875,8609864,2022,8,16,1
2022-08-17,282.92149379593354,284.32837491424715,282.28611204574895,283.6929931640625,7975854,2022,8,17,2
2022-08-18,284.1014789496384,286.8244963197627,283.7384155069482,286.5068054199219,9883851,2022,8,18,3
2022-08-19,286.96062151211885,286.96062151211885,282.46765978666593,283.19378662109375,10422413,2022,8,19,4
2022-08-22,282.46765736998816,287.7321461244568,282.28611181295287,285.3721923828125,11355837,2022,8,22,0
2022-08-23,284.0560866719988,286.82447639263864,283.2845595974057,286.73370361328125,9338887,2022,8,23,1
2022-08-24,286.5975378358209,289.9559365325672,284.1468114679291,285.0998840332031,11346892,2022,8,24,2
2022-08-25,286.3252645390429,287.1875366836431,282.8307203215503,283.511474609375,7759104,2022,8,25,3
2022-08-26,285.68991128737855,286.2798928556834,283.19381198304086,284.0107116699219,6956588,2022,8,26,4
2022-08-29,281.3784212926762,285.87141039007594,280.33460365690524,284.60064697265625,11361400,2022,8,29,0
2022-08-30,285.236014308126,291.72586557737225,285.236014308126,290.9089660644531,17829428,2022,8,30,1
2022-09-01,290.0013359607661,292.1797442120279,286.8244825151865,288.2767639160156,13254985,2022,9,1,3
2022-09-02,289.2752054873026,294.3127762365002,288.6851962662564,293.3143310546875,25758860,2022,9,2,4
2022-09-05,294.9935234248508,299.1688219117797,293.85893295013983,298.4880676269531,17471906,2022,9,5,0
2022-09-06,299.53187909273936,299.53187909273936,296.26425305355343,296.94500732421875,11970750,2022,9,6,1
2022-09-07,295.90120109736006,297.9888365281843,295.2204468003569,295.9919738769531,8085824,2022,9,7,2
2022-09-08,298.62420150371463,300.0764827957007,297.2626929862205,299.44110107421875,10911130,2022,9,8,3
2022-09-09,300.07652107708765,302.52722010124086,299.53191206062075,299.9857482910156,9408098,2022,9,9,4
2022-09-12,301.347169321653,301.7102326603623,299.53182492814904,300.3487243652344,8712689,2022,9,12,0
2022-09-13,301.074935988398,304.0702437272185,300.07649084213705,303.525634765625,10520207,2022,9,13,1
2022-09-14,300.4395590435272,307.7009381140656,300.39418650432145,304.387939453125,12267025,2022,9,14,2
2022-09-15,305.34096166352265,305.93094312912586,302.16410855647064,303.2533264160156,8418672,2022,9,15,3
2022-09-16,301.66492566094286,303.7071885472739,299.2595993570344,300.71185302734375,12492851,2022,9,16,4
2022-09-19,298.71496753715127,305.79480058836657,298.71496753715127,304.6148376464844,14365461,2022,9,19,0
2022-09-20,307.4740657352266,308.24559291617925,304.07029378981815,304.97796630859375,9526068,2022,9,20,1
2022-09-21,304.9779272751684,313.32852445911675,304.5240910738661,309.4709167480469,20992080,2022,9,21,2
2022-09-22,309.5162599749279,316.55072042890356,309.42548720327153,313.19232177734375,24179987,2022,9,22,3
2022-09-23,315.41616982362973,317.27688722749565,311.60393453282603,314.417724609375,22838807,2022,9,23,4
2022-09-26,313.0108326002939,314.00927778003233,301.1203186233288,301.891845703125,16205789,2022,9,26,0
2022-09-27,304.07025787056847,308.2001562631534,303.16258545901457,303.9341125488281,9991052,2022,9,27,1
2022-09-28,301.3018572877383,302.5271928394128,294.358141428448,294.9481506347656,15552911,2022,9,28,2
2022-09-29,298.6242005457153,303.97946182402006,297.48961011811,302.3002624511719,18281337,2022,9,29,3
2022-09-30,302.3002468495793,304.7509731267104,299.66800273337634,301.52874755859375,12427919,2022,9,30,4
2022-10-03,302.16412877912256,302.25490155681985,293.40509588060667,294.44891357421875,9111289,2022,10,3,0
2022-10-04,298.35190922563265,303.16256154744883,297.7165275076743,302.1187438964844,8803255,2022,10,4,1
2022-10-06,304.070247722241,307.97322788167565,301.8464393081678,305.5679016113281,22235092,2022,10,6,3
2022-10-07,305.7040250500507,305.7494252858422,300.71182731039755,303.2533264160156,10506078,2022,10,7,4
2022-10-10,299.5318732989487,300.8480092767621,295.94655646281,297.58038330078125,9388996,2022,10,10,0
2022-10-11,298.62421898659187,299.94035504387375,295.084302173856,296.1734924316406,10609956,2022,10,11,1
2022-10-12,297.6711904405997,300.84804400901606,294.7666275266331,299.6226806640625,10337544,2022,10,12,2
2022-10-13,299.48650925445526,300.7118447927291,297.7165370547848,298.3065185546875,7266724,2022,10,13,3
2022-10-14,301.6195672003564,303.07184877179293,300.3034586668413,301.43804931640625,6424915,2022,10,14,4
2022-10-17,300.5303399850936,303.8433387360239,299.1688313723855,301.57415771484375,6929063,2022,10,17,0
